#Num of jobs: 30 
#Num of machines: 30 
                task 0            task 1            task 2            task 3            task 4            task 5            task 6            task 7            task 8            task 9            task 10            task 11            task 12            task 13            task 14            task 15            task 16            task 17            task 18            task 19            task 20            task 21            task 22            task 23            task 24            task 25            task 26            task 27            task 28            task 29      
  job id    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur
      11         26     11         21      7         23      9          1     15          6      3          8      5         19     13         13     11         29      1          0      6          4      6         10      7         18     10         28      6          2     13          9     10         12     15         11      3         17      8          5     11         25      1         20      6         14      7          7      3         27      1         15      5         24     15         16      7          3      4         22     14
      12         27     15         29      0          0      6          7      9         15     14         19      5         17      7          4      5         16      8         14     14          9     15          2     15         20      2         22     14          3      5         26      2         24      4         21      2          8      1          6      0         10     13          5     11         12     15          1      3         11     10         13      9         25      3         18      2         28      3         23     14
      13         21      6         26     14         25      4          9      5         16      8         14     15          1      8         23      2          7     14         29      6         18     10         12     13          6      2          2      2          0     14         24      1          3     11         15      7         22      1         11     12         17      4         20      9          5      0         19      8          4     12         13      1         27      8         10      3          8      3         28      5
      14         28      8          8      9         22      6          9      9          2     10          4      9         14      6         20      2          7      6         13      9         24     11          0      3         29     13         26     14          1     13         11     11         25     15          6      3         17     12         19      6         27      9         10     13         16     14         21      9         15      9          3      8         23      7          5     15         12      5         18      4
      15          0     12         25      7          6      3         12     15         10      8         20      1         14      9          7     13         16     14          9      2         18     12         19      3         15     10         27      0          5      4         23      8         28      2         26      3         13      6         29     15         11      5          2      2         24     11          1      1          3     11          4      9         17      4          8      3         22      5         21      4
      16          4      6         10      7          7      9         26     11         21      6          3      8         14      1          0     14         25      8         17     13         29      9         28     15          1     12         23      7         13      2         27     14          8     15         22      5         19     11         20     11         12      2          5     15         15      4          6      2         16     11         24     10         18      5          9      0          2      1         11      4
      17         26      4          0      4         22     13         11      0         23      7         16      4          4      5          8      9          3     13         19      0         25     13         18      0         12      9         28      3         14      0         17      6         29      5         24      6         13      2          1      1          9     13         20      3         27      5         10      0          2     10          7      0         21      9         15      8          6      3          5     15
      18          4     14         29      5          1      0          3      0         17     14         14      1         10      3          2      9         26      7         11      5         21      9         25     10         18     15         22      6          0     15         24      6         12     11         13      8          7     12         28     11          5     14         27     14          8      1         16      1          9      6         19     10         23     14         20      2         15      0          6     11
      19         11      0         13      4         21      6         27     11         23     12         14      7          5      6          1      1         29     11         15      9         28     11          3      4         19      6          9      6          4     10         16      6          8      4          0      8          2      9         22      2          7      0         20     12         25      6         10     14          6      4         26      7         18     13         17      4         12      1         24      5
      20         11     15         25     14         15      5          2      0          6      3          0      8          7      1         26      3         23      2          5     11         19     10         21      2         18     13          4      3          8      1         16      1         17      0         13      3         28     14         14      5          9      9         24     14          1     12         10     10         22      8         12     11          3      4         29     13         20     10         27     13
      21          6      5         10     12          9     15         27      6         22     12          0     10         12     10          8     10          1     14         26     14         23      3          7      0          4      3          3      7          5      0         14      6         25      7         28      7          2      1         15     13         18      5         16     10         11     10         21      3         19      7         20      6         13     12         24      5         29      0         17      4
      22         26      3         22     12         16     12         29     13          3      1          2     10         27      4         15      5          0      1          4      6          6      4         19     10         21      8         12      5          7      9         10     12         23      7         14      9         17      5         28      1         13      0          8     10         25      4          5      8         11      3         24     11         18      6          9      9         20     10          1      4
      23         26      6         23      6          0      0         20      3          9      2         28     10         13     14         15      5         21      8         10      7          1     15         14     10         18      1         16      4          8      3         12      2         27     14         22      4          7      8          2      6         17     11          6     13         25     12         19     12         24      2          5      8         11     10          4      6         29     13          3      9
      24         28      4         26      1          9     13         13     14         29      3         17      2          4     10          5     14         11      3         15      3         19      4         18      6         10     14          3     15         22      0          6      6          1      9          2      0         14     11          0      2          8      2         20      5         21      9          7      1         24     11         25      4         16      3         23     13         12     13         27      7
      25         19      5         23      2          5      5          1      4          2     11         28     14          7     15          9     11         27      6         24     13         16     14         18     10         10      8          6     14         17     10         20     12         25      2          0     13          3     14         11      3         22     12         14      3         13     11         15      7         21      4         29      0          4      6         12      0          8      9         26     12
      26         11      9          3      2         18      1         22     10         19      5         28      4         12      2         20      6         17      8          8     12         13      6         29     13         15     14          1     13          0      5         26     15         23      4         25      9         21     13          4      2         16      0         24      0         10     12         27     10          9      0         14      9          5      9          7     15          6      2          2      2
      27         13      3         11      2         14      3          1     14         10     10         25      6         22      5         23      0          5     11         15      5         20     13         18      8         29      0          8      6         12     10          7      0         16      5          0     13          3      1          6      1          2      0         28     15         24      9         21      4         17      8         19     13          9      4         26      2         27      7          4     12
      28          6     14         18      9         20      2         11     12         17     13          5      6          3      9         29      2         10     10         28      3          2      6         24      6          9      7         19      5         22      6         27      1          7      1         26      8         13     15         21      2          0     13         12      3         25      6          4      3         16     15          1      4         23     12         14      6         15      9          8     10
      29         12     10         17     15          6      2         26      7         22      8         29      6          4      2         24     10          9      2          5     11         20      7         11     15         21      2         14     14          1     11         27     12          7      5         16     12         13      2         28      6         23      5         10      9          0     11          3      8         15      9          8      6          2      2         25      8         18      7         19      4
